relative_path,group,row_number,pair_key,ko_preview,en_preview,ko_codepoints,en_codepoints,ko_utf8_bytes,en_utf8_bytes,data_set,domain,subdomain,source,style
01.데이터/1.Training/라벨링데이터/TL1/일상생활및구어체_영한_train_set.json,TRAIN · EN_TO_KO,44,ECOAR1A00371,그 파일을 다른 이메일 주소로 보내주시겠어요?,Can you send me that file to another email address?,25,51,63,51,일상생활및구어체,해외고객과의채팅,"숙박,음식점",크라우드 소싱,구어체
01.데이터/1.Training/라벨링데이터/TL1/일상생활및구어체_영한_train_set.json,TRAIN · EN_TO_KO,264,ECOAR1D00271,"한국에 있는 다른 사업 벤처에 방문한다고 하셨는데, 그와 만날 수 있으면 좋을 것 같습니다.","You mentioned that you'll be visiting your other business venture in Korea, so I think it would be nice if you could also meet with him.",51,136,123,136,일상생활및구어체,해외고객과의채팅,"숙박,음식점",크라우드 소싱,구어체
01.데이터/1.Training/라벨링데이터/TL1/일상생활및구어체_영한_train_set.json,TRAIN · EN_TO_KO,306,ECOAR1D00614,열심히 노력한 보람이 있을 때 정말 행복하죠.,We surely feel happy when our hard work shows some profit.,25,58,61,58,일상생활및구어체,해외고객과의채팅,"숙박,음식점",크라우드 소싱,구어체
01.데이터/1.Training/라벨링데이터/TL1/일상생활및구어체_영한_train_set.json,TRAIN · EN_TO_KO,475,ECOAR1L00292,5명의 손님을 위한 테이블을 준비하겠습니다.,We will prepare a table for five guests.,24,40,60,40,일상생활및구어체,해외고객과의채팅,"숙박,음식점",크라우드 소싱,구어체
01.데이터/1.Training/라벨링데이터/TL1/일상생활및구어체_영한_train_set.json,TRAIN · EN_TO_KO,499,ECOAR1L00584,떡볶이에 대해서도 많이 들었어요.,"Also, I heard a lot about tteokbokki.",18,37,46,37,일상생활및구어체,해외고객과의채팅,"숙박,음식점",크라우드 소싱,구어체
01.데이터/1.Training/라벨링데이터/TL1/일상생활및구어체_영한_train_set.json,TRAIN · EN_TO_KO,663,ECOAR1R00080,케이터링을 맡아주실 수 있나요?,May I know if you can handle the catering?,17,42,43,42,일상생활및구어체,해외고객과의채팅,"숙박,음식점",크라우드 소싱,구어체
01.데이터/1.Training/라벨링데이터/TL1/일상생활및구어체_영한_train_set.json,TRAIN · EN_TO_KO,738,ECOAR1R00830,"죄송합니다, 고객님, 조정은 할 수 없습니다.","Sorry, sir, but no adjustments can be made.",25,43,59,43,일상생활및구어체,해외고객과의채팅,"숙박,음식점",크라우드 소싱,구어체
01.데이터/1.Training/라벨링데이터/TL1/일상생활및구어체_영한_train_set.json,TRAIN · EN_TO_KO,826,ECOAR1S00693,"안녕하세요, 그 호텔에 스파와 사우나가 있나요?","Hello, do you guys have a spa and sauna in your hotel?",26,54,64,54,일상생활및구어체,해외고객과의채팅,"숙박,음식점",크라우드 소싱,구어체
01.데이터/1.Training/라벨링데이터/TL1/일상생활및구어체_영한_train_set.json,TRAIN · EN_TO_KO,833,ECOAR1S00784,오후 2시에 호텔에 체크인할 예정이니 오후 6시로 가능할까요?,I'll check in to the hotel at 2:00 p.m. so would 6:00 p.m fine?,34,63,82,63,일상생활및구어체,해외고객과의채팅,"숙박,음식점",크라우드 소싱,구어체
01.데이터/1.Training/라벨링데이터/TL1/일상생활및구어체_영한_train_set.json,TRAIN · EN_TO_KO,999,ECOAR2C00439,"네, 저희 행사는 한국에서 열립니다.","Yes, our event will be held in Korea.",20,37,48,37,일상생활및구어체,해외고객과의채팅,"숙박,음식점",크라우드 소싱,구어체
01.데이터/1.Training/라벨링데이터/TL1/일상생활및구어체_영한_train_set.json,TRAIN · EN_TO_KO,1148,ECOAR2R00024,"후식으로는 뭘 드시겠습니까, 음료수는 무엇으로 하시겠어요?","What will you have for dessert, sir, and do you want any beverages?",32,67,82,67,일상생활및구어체,해외고객과의채팅,"숙박,음식점",크라우드 소싱,구어체
01.데이터/1.Training/라벨링데이터/TL1/일상생활및구어체_영한_train_set.json,TRAIN · EN_TO_KO,1161,ECOAR2R00143,11월 15일에 머무는 동안 방을 예약하고 싶습니다.,I would like to order something for my room during my stay there on November 15.,29,80,65,80,일상생활및구어체,해외고객과의채팅,"숙박,음식점",크라우드 소싱,구어체
01.데이터/1.Training/라벨링데이터/TL1/일상생활및구어체_영한_train_set.json,TRAIN · EN_TO_KO,1303,ECOAR2T00474,"네, 선생님, 당신은 그들과 교류할 수 있습니다, 그리고 그들은 당신을 교육할 것입니다.","Yes, sir, you can interact with them, and they're also going to educate you.",49,76,117,76,일상생활및구어체,해외고객과의채팅,"숙박,음식점",크라우드 소싱,구어체
01.데이터/1.Training/라벨링데이터/TL1/일상생활및구어체_영한_train_set.json,TRAIN · EN_TO_KO,1404,ECOAR3C00495,"그럼, 회사 직원들만을 위한 건가요?","So, is it exclusively for the company's employees?",20,50,48,50,일상생활및구어체,해외고객과의채팅,"숙박,음식점",크라우드 소싱,구어체
01.데이터/1.Training/라벨링데이터/TL1/일상생활및구어체_영한_train_set.json,TRAIN · EN_TO_KO,1420,ECOAR3C00684,또한 귀사에 숙박을 예약한 걸로 압니다.,"In addition, I believe they have booked lodging with your company.",22,66,54,66,일상생활및구어체,해외고객과의채팅,"숙박,음식점",크라우드 소싱,구어체
01.데이터/1.Training/라벨링데이터/TL1/일상생활및구어체_영한_train_set.json,TRAIN · EN_TO_KO,1450,ECOAR3T00078,올해도 K-Food Fair 탐험에 함께 갈래요?,Will you still be going to the K-food fair expedition with me this year?,27,72,49,72,일상생활및구어체,해외고객과의채팅,"숙박,음식점",크라우드 소싱,구어체
01.데이터/1.Training/라벨링데이터/TL1/일상생활및구어체_영한_train_set.json,TRAIN · EN_TO_KO,1668,ECOAR4T00390,"네, 7월부터 9월까지 신청 가능하세요.","Yes, you can apply from July until September.",22,45,50,45,일상생활및구어체,해외고객과의채팅,"숙박,음식점",크라우드 소싱,구어체
01.데이터/1.Training/라벨링데이터/TL1/일상생활및구어체_영한_train_set.json,TRAIN · EN_TO_KO,1767,ECOAR5T00399,저희 커피 블렌드를 이용해 주셔서 감사합니다.,Thank you for appreciating our coffee blends.,25,45,63,45,일상생활및구어체,해외고객과의채팅,"숙박,음식점",크라우드 소싱,구어체
01.데이터/1.Training/라벨링데이터/TL1/일상생활및구어체_영한_train_set.json,TRAIN · EN_TO_KO,1835,ECOAR5T00923,BBB1은 고급 레스토랑에 가깝기 때문에 다른 손님들에게 방해가 되지 않도록 자녀와 동행하지 않는 게 좋습니다.,"BBB1 is more of a fine dining restaurant, so we usually advise parents to visit without bringing their children to avoid disturbing other customers.",62,148,148,148,일상생활및구어체,해외고객과의채팅,"숙박,음식점",크라우드 소싱,구어체
01.데이터/1.Training/라벨링데이터/TL1/일상생활및구어체_영한_train_set.json,TRAIN · EN_TO_KO,1841,ECOARU100009,"호텔은 불과 몇 분 거리에 있습니다, 맞죠?","Your hotel is only a few minutes away, right?",24,45,56,45,일상생활및구어체,해외고객과의채팅,"숙박,음식점",크라우드 소싱,구어체
01.데이터/1.Training/라벨링데이터/TL1/일상생활및구어체_영한_train_set.json,TRAIN · EN_TO_KO,1965,ECOARV100200,유아용 침대도 제공됩니다.,A crib can also be provided for babies.,14,39,36,39,일상생활및구어체,해외고객과의채팅,"숙박,음식점",크라우드 소싱,구어체
01.데이터/1.Training/라벨링데이터/TL1/일상생활및구어체_영한_train_set.json,TRAIN · EN_TO_KO,2085,ECOFI1A00328,"둘째, 당사는 주간 현금 인출이 있습니다.","Second, we have the weekly cash out.",23,36,55,36,일상생활및구어체,해외고객과의채팅,"금융,보험",크라우드 소싱,구어체
01.데이터/1.Training/라벨링데이터/TL1/일상생활및구어체_영한_train_set.json,TRAIN · EN_TO_KO,2257,ECOFI1B00972,저희 증권 회사는 귀하의 투자 요구 사항에 도움을 드릴 수 있습니다.,Our securities company can help you with your investment requirements.,38,70,92,70,일상생활및구어체,해외고객과의채팅,"금융,보험",크라우드 소싱,구어체
01.데이터/1.Training/라벨링데이터/TL1/일상생활및구어체_영한_train_set.json,TRAIN · EN_TO_KO,2353,ECOFI1B01826,제 사업 파트너와 이 문제에 대해 먼저 상의하고 싶습니다.,Call me sometime next week.,32,27,78,27,일상생활및구어체,해외고객과의채팅,"금융,보험",크라우드 소싱,구어체
