relative_path,group,row_number,pair_key,ko_preview,en_preview,ko_codepoints,en_codepoints,ko_utf8_bytes,en_utf8_bytes,data_set,domain,subdomain,source,style
01.데이터/1.Training/라벨링데이터/TL1/기술과학분야_한영_train_set.json,TRAIN · KO_TO_EN,128,WRN030618095734778642,지난주 본 준비회의에서 멕시코가 내놓은 '그린 펀드' 제안도 지지를 얻고 있다.,"Mexico's proposal for a ""green fund"" at last week's preparatory meeting is also gaining traction.",44,97,106,97,기술과학분야,세계,사회_환경,한국연구재단,문어체
01.데이터/1.Training/라벨링데이터/TL1/기술과학분야_한영_train_set.json,TRAIN · KO_TO_EN,333,KITS01A125055,"자기장 생성부(145)는 촉각부(141)와 대응되는 위치 및 형상을 가지며, 자기장 생성부(145)에서 발생되는 자기장에 의해 촉각부(141)의 형상이 변화하고, 촉각부(141)의 형상 변화에 따라 촉각 정보를 전달할 수 있다.","The magnetic field generating unit 145 has a position and a shape corresponding to that of the tactile unit 141, and the shape of the tactile unit 141 is change",127,314,277,314,기술과학분야,기술과학,IT,특허정보원,문어체
01.데이터/1.Training/라벨링데이터/TL1/기술과학분야_한영_train_set.json,TRAIN · KO_TO_EN,339,KBDS01A70275,장면 조건 센서(520)의 다른 예는 물체까지의 거리 또는 위치의 측정치를 결정하는 것을 돕기 위한 오토포커스 센서를 포함한다.,Another example of a scene condition sensor 520 includes an autofocus sensor to help determine a measurement value of the distance or position to an object.,71,156,169,156,기술과학분야,기술과학,빅데이터,특허정보원,문어체
01.데이터/1.Training/라벨링데이터/TL1/기술과학분야_한영_train_set.json,TRAIN · KO_TO_EN,357,ECS2710618094527181544,"해외 직판 업체들은 자사 설계 및 생산 위탁(OEM), 국산 완제품 소싱, 직접 생산, 제조업자 설계 생산(ODM) 등 4가지 방식의 소싱 수단을 주로 활용하고 있다.","Overseas direct sales companies are mainly using four sourcing methods: their own design and production consignment (OEM), domestic finished product sourcing, d",93,219,203,219,기술과학분야,경제,국제통상,한국연구재단,문어체
01.데이터/1.Training/라벨링데이터/TL1/기술과학분야_한영_train_set.json,TRAIN · KO_TO_EN,416,KBDS01A89778,"데이터의 처리는 사용자 정의에 의해 생성된 중간 프로세스에 의해 각각 수행되며, 프레임워크는 중간 프로세스를 생성할 수 있도록 하는 사용자 인터페이스를 사용자에게 제공한다.","The processing of data is performed by intermediate processes created by user definition, respectively, and the framework provides a user interface for the user",96,194,242,194,기술과학분야,기술과학,빅데이터,특허정보원,문어체
01.데이터/1.Training/라벨링데이터/TL1/기술과학분야_한영_train_set.json,TRAIN · KO_TO_EN,533,POS0920618100353942576,AAA의 방어 계획은 위 훈령이 하달되기 이전 시점에 아무르 군관구 참모부로 발송되었다.,AAA's defense plan was sent to Amur Military District Staff Department just before the order was issued.,49,104,117,104,기술과학분야,정치,북한,한국연구재단,문어체
01.데이터/1.Training/라벨링데이터/TL1/기술과학분야_한영_train_set.json,TRAIN · KO_TO_EN,584,WRN020618095717627743,11일 인도 언론에 따르면 뉴델리에선 올해 들어 지금까지 뎅기열 환자가 255명 보고됐고 이 중 93명이 이달 첫째 주에 발생했다.,"According to Indian media reports on the 11th, 255 dengue fever cases have been reported in New Delhi this year, with 93 occurring in the first week of this mon",73,163,167,163,기술과학분야,세계,사회_의료,한국연구재단,문어체
01.데이터/1.Training/라벨링데이터/TL1/기술과학분야_한영_train_set.json,TRAIN · KO_TO_EN,633,POS18720618095939873739,집단 간의 이념적 거리보다는 집단 내의 결집(또는 분산의 약화)의 강도로서 측정될 수 있는 이념적 일관성(ideological consistency)으로서의 양극화 현상을 꼽을 수 있다는 것이다.,It is said that the polarization phenomenon as an ideological consistency that can be measured as the strength of the gathering (or weakening of dispersion) wit,109,248,231,248,기술과학분야,정치,국방외교,한국연구재단,문어체
01.데이터/1.Training/라벨링데이터/TL1/기술과학분야_한영_train_set.json,TRAIN · KO_TO_EN,767,POS0120618095841858186,이 연구들은 발표된 지가 오래되어서 최신 연구 성과를 수용하지 못했다는 점과 전적으로 중국학에 초점이 맞춰 있어 프랑스어권의 한국학과 일본학 현황을 알 수 없는 실정이다.,"Since these research reports have already been posted for a long period, obtained maybe not had the oppertunity to accept modern research outcomes, and they are",95,204,237,204,기술과학분야,정치,국방외교,한국연구재단,문어체
01.데이터/1.Training/라벨링데이터/TL1/기술과학분야_한영_train_set.json,TRAIN · KO_TO_EN,805,POS0920618100156910071,"분석을 통하여 북한 기록영화에서 의미가 어떻게 생성되고, 나아가 그것이 내포하고 있는 의미를 파악할 수 있다.","Through the evaluation, how definition is done in North Korean documentary movies, and moreover, this is it contains may be understood.",61,135,151,135,기술과학분야,정치,북한,한국연구재단,문어체
